id,session_id,country_name,is_mobile,ui_element,created_at,measurement_category,timestamp,country_residency,ip_country,important_score,broker_timestamp,country_match,timestamp_within_tolerance
5372265,73713946,united kingdom,0,dynamic score top broker list row,2024-04-21 12:21:50,01bestca/02notrel/03notrel,,,,,,True,False
5372268,73713927,poland,0,desktop-top5-box,2024-04-21 12:22:02,01safety/02isscam/03notrel,,,,,,True,False
5372271,73713985,india,0,broker-chapter-1/summary,2024-04-21 12:23:06,01bestca/02notrel/03online,,,,,,True,False
5372286,73712863,greece,1,dynamic score top broker list row,2024-04-21 12:26:53,01counpg/02notrel/03notrel,,,,,,True,False
5372293,73714644,australia,0,popularity-box-whole-row-link,2024-04-21 12:28:09,01bestca/02notrel/03online,,,,,,True,False
5372294,73713939,germany,1,bottom-ribbon,2024-04-21 12:28:34,01review/02notrel/03stonxx,,,,,,True,False
5372296,73714870,thailand,1,dynamic score top broker list row,2024-04-21 12:31:19,01counpg/02notrel/03notrel,,,,,,True,False
5372301,73628946,ghana,1,top2-header,2024-04-21 12:32:24,01educat/02stocks/03buysto,,,,,,True,False
5372303,73711617,poland,0,desktop-top5-box,2024-04-21 12:32:33,01review/02notrel/03review,,,,,,True,False
5372304,73715011,lithuania,0,dynamic score top broker list row,2024-04-21 12:32:34,01bestca/02notrel/03notrel,,,,,,True,False
5372306,73711617,poland,0,front-page-visit-broker-button-name-link,2024-04-21 12:32:44,01homepa/02notrel/03notrel,,,,,,True,False
5372309,73714958,greece,1,mobile-chapter-2-top5-box,2024-04-21 12:33:18,01safety/02isscam/03notrel,,,,,,True,False
5372310,73714905,japan,1,mobile-chapter-2-top5-box,2024-04-21 12:33:19,01review/02notrel/03notrel,,,,,,True,False
5372317,73714958,greece,1,mobile-chapter-2-top5-box,2024-04-21 12:34:08,01safety/02isscam/03notrel,,,,,,True,False
5372318,63527353,united kingdom,1,dynamic score top broker list row,2024-04-21 12:34:11,01bestca/02notrel/03notrel,,,,,,True,False
5372323,73715154,guam,1,dynamic score top broker list row,2024-04-21 12:34:52,01bestca/02notrel/03online,,,,,,True,False
5372325,73715241,germany,0,dynamic score top broker list row,2024-04-21 12:35:09,01bestca/02notrel/03notrel,,,,,,True,False
5372328,73715202,united kingdom,0,desktop-top5-box,2024-04-21 12:35:56,01review/02notrel/03review,,,,,,True,False
5372329,73715355,united kingdom,0,dynamic score top broker list row,2024-04-21 12:36:15,01bestca/02notrel/03notrel,,,,,,True,False
5372333,73714190,spain,0,geo-alternatives-button,2024-04-21 12:37:24,01cateme/02notrel/03notrel,,,,,,True,False
5372338,73715338,united states,1,broker-name-link,2024-04-21 12:38:11,01bestca/02notrel/03notrel,,,,,,True,False
5372339,73714905,japan,1,fmb broker list item link,2024-04-21 12:38:30,01fmybro/02notrel/03notrel,,,,,,True,False
5372353,73715612,greece,0,interactive-param-table-name-link,2024-04-21 12:41:53,01review/02notrel/03review,,,,,,True,False
5372354,73713980,pakistan,1,TableNameLinkClick,2024-04-21 12:42:06,01review/02notrel/03openac,,,,,,True,False
5372355,73715539,poland,0,fmb broker list item link,2024-04-21 12:42:08,01fmybro/02notrel/03notrel,,,,,,True,False
5372359,73713980,pakistan,1,mobile-chapter-2-top5-box,2024-04-21 12:42:28,01review/02notrel/03openac,,,,,,True,False
5372361,73715000,poland,0,dynamic score top broker list row,2024-04-21 12:42:37,01bestca/02notrel/03notrel,,,,,,True,False
5372364,73715526,united states,0,broker-name-link,2024-04-21 12:43:07,01bestca/02notrel/03notrel,,,,,,True,False
5372367,73715961,norway,1,dynamic score top broker list row,2024-04-21 12:43:34,01bestca/02notrel/03notrel,,,,,,True,False
5372377,73716151,pakistan,1,broker-name-link,2024-04-21 12:45:44,01counpg/02notrel/03notrel,,,,,,True,False
5372378,73715338,united states,1,dynamic score top broker list row,2024-04-21 12:45:59,01bestca/02notrel/03notrel,,,,,,True,False
5372381,73716263,ireland,0,broker-name-link,2024-04-21 12:46:44,01bestca/02notrel/03notrel,,,,,,True,False
5372386,73706450,india,1,mobile-chapter-2-top5-box,2024-04-21 12:47:25,01bestca/02notrel/03notrel,,,,,,True,False
5372396,73714870,thailand,1,dynamic score top broker list row,2024-04-21 12:48:02,01counpg/02notrel/03notrel,,,,,,True,False
5372411,73716765,philippines,1,dynamic score top broker list row,2024-04-21 12:52:25,01counpg/02notrel/03notrel,,,,,,True,False
5372431,73717051,united states,0,dynamic score top broker list row,2024-04-21 12:54:38,01bestca/02notrel/03notrel,,,,,,True,False
5372432,73716719,bolivia,1,mobile-chapter-2-top5-box,2024-04-21 12:54:40,01safety/02isscam/03notrel,,,,,,True,False
5372450,73717028,liberia,1,fmb broker list item link,2024-04-21 12:55:56,01fmybro/02notrel/03notrel,,,,,,True,False
5372453,73717203,philippines,1,dynamic score top broker list row,2024-04-21 12:56:24,01counpg/02notrel/03notrel,,,,,,True,False
5372461,73717343,poland,1,fmb broker list item link,2024-04-21 12:58:17,01fmybro/02notrel/03notrel,,,,,,True,False
5372469,73717452,malaysia,0,dynamic score top broker list row,2024-04-21 12:59:08,01counpg/02notrel/03notrel,,,,,,True,False
5372471,73714924,italy,0,dynamic score top broker list row,2024-04-21 12:59:37,01bestca/02notrel/03notrel,,,,,,True,False
5372472,73716307,poland,1,fmb broker list item link,2024-04-21 12:59:40,01fmybro/02notrel/03notrel,,,,,,True,False
